taxon	min_age	max_age
Psittacosaurus_mongolensis	110.1	121.4
Yinlong_downsi	154.8	161.5
Wannanosaurus_yansiensis	66	72.2
Goyocephale_lattimorei	66	85.7
Homalocephale_calathocercos	66	72.2
Tylocephale_gilmorei	72.2	83.6
Prenocephale_prenes	66	72.2
Foraminacephale_brevis	72.2	83.6
Colepiocephale_lambei	72.2	83.6
Stegoceras_validum	72.2	83.6
Pachycephalosaurus_wyomingensis	66	83.6
Alaskacephale_gongloffi	66	72.2
Sphaerotholus_buchholtzae	66	72.2
Sphaerotholus_edmontonensis	66	83.6
Sphaerotholus_goodwini	72.2	83.6
Acrotholus_audeti	83.6	85.7
Amtocephale_gobienses	83.6	100.5
Sinocephale_bexelli	66	83.6
